sampleno,treatno,treatname,treatnameshort,fulltreatname,treatnameshort,newtreatname,nh4n mgkg-1,no3n mgkg-1,pH,date,day,timepoint,mineralisensmallsd
1,1,S pF2,S,Soil pF2,S,C,-0.75,8.19,7,12:00:00,1,1,
2,1,S pF2,S,Soil pF2,S,C,-4.75,9.6,7.37,12:00:00,1,1,
3,1,S pF2,S,Soil pF2,S,C,0.81,9.15,7.36,12:00:00,1,1,
4,2,S + WWTP AD pF2,sWWTP AD,Soil + WWTP AD pF2,WWTP AD,S-AD,186.01,30.9,6.19,12:00:00,1,1,0.035152446
5,2,S + WWTP AD pF2,sWWTP AD,Soil + WWTP AD pF2,WWTP AD,S-AD,370.43,22.59,5.87,12:00:00,1,1,0.233998279
6,2,S + WWTP AD pF2,sWWTP AD,Soil + WWTP AD pF2,WWTP AD,S-AD,196.52,34.12,5.85,12:00:00,1,1,0.050654208
7,3,S + WWTP dry pF2,sWWTP dry,Soil + WWTP dry pF2,WWTP dry,S-FD,110.79,25.82,5.65,12:00:00,1,1,0.064281095
8,3,S + WWTP dry pF2,sWWTP dry,Soil + WWTP dry pF2,WWTP dry,S-FD,109.41,23.97,5.6,12:00:00,1,1,0.060772691
9,3,S + WWTP dry pF2,sWWTP dry,Soil + WWTP dry pF2,WWTP dry,S-FD,147.33,23.51,5.79,12:00:00,1,1,0.101458691
10,4,S + 70 pF2,s70,Soil + 70C pF2,70C,S-LD70,167.93,20.17,5.63,12:00:00,1,1,0.068232687
11,4,S + 70 pF2,s70,Soil + 70C pF2,70C,S-LD70,160.3,21.89,5.66,12:00:00,1,1,0.061321178
12,4,S + 70 pF2,s70,Soil + 70C pF2,70C,S-LD70,153.33,19.88,5.93,12:00:00,1,1,0.05082065
13,5,S + 130 pF2,s130,Soil + 130C pF2,130C,S-LD130,210.23,20.43,5.49,12:00:00,1,1,0.147244599
14,5,S + 130 pF2,s130,Soil + 130C pF2,130C,S-LD130,237.81,19.51,5.73,12:00:00,1,1,0.177139095
15,5,S + 130 pF2,s130,Soil + 130C pF2,130C,S-LD130,165.57,21.66,5.68,12:00:00,1,1,0.098555736
16,6,S + 190 pF2,s190,Soil + 190C pF2,190C,S-LD190,90.64,15.39,5.86,12:00:00,1,1,0.084520229
17,6,S + 190 pF2,s190,Soil + 190C pF2,190C,S-LD190,100.77,14.79,5.95,12:00:00,1,1,0.095189882
18,6,S + 190 pF2,s190,Soil + 190C pF2,190C,S-LD190,108.16,12.95,5.94,12:00:00,1,1,0.101399079
19,7,S + 250 pF2,s250,Soil + 250C pF2,250C,S-LD250,37.84,22.62,6.31,12:00:00,1,1,0.031516319
20,7,S + 250 pF2,s250,Soil + 250C pF2,250C,S-LD250,75.22,21.41,6.1,12:00:00,1,1,0.071139187
21,7,S + 250 pF2,s250,Soil + 250C pF2,250C,S-LD250,62.35,28.61,6.08,12:00:00,1,1,0.064931873
22,8,S pF1,S,Soil pF1,S,C,-7.21,9.6,6.91,12:00:00,1,1,
23,8,S pF1,S,Soil pF1,S,C,1.13,9.25,7.29,12:00:00,1,1,
24,8,S pF1,S,Soil pF1,S,C,1.21,10.64,7.36,12:00:00,1,1,
25,9,S + WWTP AD pF1,sWWTP AD,Soil + WWTP AD pF1,WWTP AD,S-AD,309,0,5.92,12:00:00,1,1,0.13913485
26,9,S + WWTP AD pF1,sWWTP AD,Soil + WWTP AD pF1,WWTP AD,S-AD,302,0,5.9,12:00:00,1,1,0.131231
27,9,S + WWTP AD pF1,sWWTP AD,Soil + WWTP AD pF1,WWTP AD,S-AD,282,17.68,5.73,12:00:00,1,1,0.128611438
28,10,S + WWTP dry pF1,sWWTP dry,Soil + WWTP dry pF1,WWTP dry,S-FD,166,0,6.35,12:00:00,1,1,0.096202226
29,10,S + WWTP dry pF1,sWWTP dry,Soil + WWTP dry pF1,WWTP dry,S-FD,164,0,6.62,12:00:00,1,1,0.094030255
30,10,S + WWTP dry pF1,sWWTP dry,Soil + WWTP dry pF1,WWTP dry,S-FD,166,0,6.53,12:00:00,1,1,0.096202226
