orderedtreatname,treatname,sludgetype,sludgetypeshort,daysludgetreat,newtreatname,day,timepoint,avetotinorgn,stdevtotinorgn,counttotinorgn,aveammnbiosolidmgkg,stdevammnbiosolidmgkg,countammnbiosolid,avenh4n mgkg,sdnh4n mgkg,countnh4n mgkg,aveno3n mgkg,sdno3n mgkg,countno3nmgkg,avenh4nmgkgsoilb4,nh4nmgkgsoilb4sd,nh4nmgkgsoilb4count,aveno3nmgkgsoilb4,no3nmgkgsoilb4sd,no3nmgkgsoilb4count,ave orgnbiosolidmgkg,ave orgnbiosolidsdmgkg,ave orgnbiosolidcount, totNorgandammstartmgkg , totNorgandammstartmgkgsd , totNorgandammstartcount , totNorgandammstartse ,mineralisenpercent,mineralisenpercentsd,mineralisenpercentse,mineralisenmgkg,mineralisensd,treatno
ad0 aC pF2,ad0 aC pF2,C pF2,C,D0 C pF2,C,1,1,7.416666667,2.555079907,3,0,0,5,-1.563333333,2.867844719,3,8.98,0.720208303,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,0,0,5,0,0,5,0,0,0,0,-1.397719912,2.643502665,1
ad0 bAD-C  pF2,ad0 bAD-C  pF2,S-AD pF2,S-AD,D0 S-AD pF2,S-AD,1,1,280.1871505,97.95283759,3,176.9616203,16.08480382,5,250.9838172,103.5726977,3,29.20333333,5.949305282,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,885.644346,15.27060934,5,"1,063.99",22.18038539,5,9.919369901,0.106601644,0.112099576,0.06472072,94.41114367,99.26700852,2
ad0 cAD-FD  pF2,ad0 cAD-FD  pF2,S-AD-FD pF2,S-FD,D0 S-AD-FD pF2,S-FD,1,1,146.9407539,20.76052545,3,68.60043788,1.677252186,5,122.5074206,21.5082998,3,24.43333333,1.222715557,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,920.8225151,11.59866543,5,989.3575112,12.22136469,5,5.465560444,0.075504159,0.022651046,0.013077588,69.52592948,20.8392002,3
ad0 dAD-LD70  pF2,ad0 dAD-LD70  pF2,S-LD70 pF2,S-LD70,D0 S-LD70 pF2,S-LD70,1,1,181.1655696,7.494052094,3,120.958969,4.013035941,5,160.5189029,7.299047021,3,20.64666667,1.086477489,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,854.7584589,12.96856658,5,975.6737086,12.96856658,5,5.79971929,0.060124838,0.010018579,0.005784229,51.392214,8.52789231,4
ad0 eAD-LD130  pF2,ad0 eAD-LD130  pF2,S-LD130 pF2,S-LD130,D0 S-LD130 pF2,S-LD130,1,1,225.0679521,35.37886085,3,90.50620022,1.116441731,5,204.5346188,36.45604429,3,20.53333333,1.078718375,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,891.9530076,25.01166448,5,982.4183606,25.01166448,5,11.1855564,0.14097981,0.039887901,0.02302929,125.7473653,35.40296471,5
ad0 fAD-LD190  pF2,ad0 fAD-LD190  pF2,S-LD190 pF2,S-LD190,D0 S-LD190 pF2,S-LD190,1,1,114.2310093,7.627481036,3,21.69739939,1.246584939,5,99.85434263,8.795995545,3,14.37666667,1.271429642,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,893.4523623,18.65504483,5,915.0962006,40.28425097,5,18.01566472,0.093703063,0.008901252,0.00513914,83.71922333,7.758357685,6
ad0 gAD-LD250  pF2,ad0 gAD-LD250  pF2,S-LD250 pF2,S-LD250,D0 S-LD250 pF2,S-LD250,1,1,82.68458164,19.45686474,3,22.86937266,2.610963811,5,58.47124831,18.99241595,3,24.21333333,3.855390166,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,912.9712979,23.19747442,5,935.8809624,23.19747442,5,10.37422594,0.05586246,0.021562202,0.012448943,51.0008224,19.64297306,7
ad0 hC pF1,ad0 hC pF1,C pF1,C,D0 C pF1,C,1,1,8.206666667,5.090720316,3,0,0,5,-1.623333333,4.838360604,3,9.83,0.722979944,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,0,0,5,0,0,5,0,0,0,0,-0.607719912,5.135669999,8
ad0 iAD-C  pF1,ad0 iAD-C  pF1,S-AD pF1,S-AD,D0 S-AD pF1,S-AD,1,1,303.56,4.851886231,3,176.9616203,16.08480382,5,297.6666667,14.0118997,3,5.893333333,10.20755276,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,885.644346,15.27060934,5,"1,063.99",22.18038539,5,9.919369901,0.132992429,0.019123392,0.011040895,117.7839932,16.81432089,9
ad0 jAD-FD  pF1,ad0 jAD-FD  pF1,S-AD-FD pF1,S-FD,D0 S-AD-FD pF1,S-FD,1,1,165.3333333,1.154700538,3,68.60043788,1.677252186,5,165.3333333,1.154700538,3,0,0,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,920.8225151,11.59866543,5,989.3575112,12.22136469,5,5.465560444,0.095478235,0.002622731,0.001514234,87.91850888,2.146201583,10
ad0 kAD-LD70  pF1,ad0 kAD-LD70  pF1,S-LD70 pF1,S-LD70,D0 S-LD70 pF1,S-LD70,1,1,196.6666667,17.7857621,3,120.958969,4.013035941,5,196.6666667,17.7857621,3,0,0,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,854.7584589,12.96856658,5,975.6737086,12.96856658,5,5.79971929,0.078259899,0.021378769,0.012343038,66.89331107,18.2454779,11
ad0 lAD-LD130  pF1,ad0 lAD-LD130  pF1,S-LD130 pF1,S-LD130,D0 S-LD130 pF1,S-LD130,1,1,186.6666667,13.61371857,3,90.50620022,1.116441731,5,186.6666667,13.61371857,3,0,0,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,891.9530076,25.01166448,5,982.4183606,25.01166448,5,11.1855564,0.097926773,0.015576866,0.008993308,87.34607987,13.67623663,12
ad0 mAD-LD190  pF1,ad0 mAD-LD190  pF1,S-LD190 pF1,S-LD190,D0 S-LD190 pF1,S-LD190,1,1,88.33333333,27.22743714,3,21.69739939,1.246584939,5,88.33333333,27.22743714,3,0,0,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,893.4523623,18.65504483,5,915.0962006,40.28425097,5,18.01566472,0.06471699,0.030545677,0.017635555,57.82154737,27.26439034,13
ad0 nAD-LD250  pF1,ad0 nAD-LD250  pF1,S-LD250 pF1,S-LD250,D0 S-LD250 pF1,S-LD250,1,1,74,8.185352772,3,22.86937266,2.610963811,5,74,8.185352772,3,0,0,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,912.9712979,23.19747442,5,935.8809624,23.19747442,5,10.37422594,0.046350023,0.009513125,0.005492405,42.31624076,8.618399215,14
bd3 aC pF2,bd3 aC pF2,C pF2,C,D3 C pF2,C,3,2,11.02,1.035036231,3,0,0,5,0,0,3,11.02,1.035036231,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,0,0,5,0,0,5,0,0,0,0,2.205613422,1.237324939,1
bd3 bAD-C  pF2,bd3 bAD-C  pF2,S-AD pF2,S-AD,D3 S-AD pF2,S-AD,3,2,190.2033333,6.18871823,3,176.9616203,16.08480382,5,146.5066667,6.810905471,3,43.69666667,0.629788324,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,885.644346,15.27060934,5,"1,063.99",22.18038539,5,9.919369901,0.004998989,0.019474862,0.011243817,4.427326499,17.24763231,2
bd3 cAD-FD  pF2,bd3 cAD-FD  pF2,S-AD-FD pF2,S-FD,D3 S-AD-FD pF2,S-FD,3,2,194.16,26.9137084,3,68.60043788,1.677252186,5,152.6766667,23.90551471,3,41.48333333,3.457662987,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,920.8225151,11.59866543,5,989.3575112,12.22136469,5,5.465560444,0.126783581,0.029337354,0.016937929,116.7451755,26.97444249,3
bd3 dAD-LD70  pF2,bd3 dAD-LD70  pF2,S-LD70 pF2,S-LD70,D3 S-LD70 pF2,S-LD70,3,2,187.41,37.07369822,3,120.958969,4.013035941,5,148.4166667,37.98427877,3,38.99333333,0.911500594,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,854.7584589,12.96856658,5,975.6737086,12.96856658,5,5.79971929,0.067430329,0.043645867,0.025198953,57.6366444,37.29642383,4
bd3 eAD-LD130  pF2,bd3 eAD-LD130  pF2,S-LD130 pF2,S-LD130,D3 S-LD130 pF2,S-LD130,3,2,158.28,14.463931,3,90.50620022,1.116441731,5,124.15,12.48466259,3,34.13,5.494533647,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,891.9530076,25.01166448,5,982.4183606,25.01166448,5,11.1855564,0.066101479,0.01638718,0.009461143,58.95941321,14.52278951,5
bd3 fAD-LD190  pF2,bd3 fAD-LD190  pF2,S-LD190 pF2,S-LD190,D3 S-LD190 pF2,S-LD190,3,2,88.22333333,12.70907681,3,21.69739939,1.246584939,5,56.56666667,14.97309699,3,31.65666667,5.078605452,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,893.4523623,18.65504483,5,915.0962006,40.28425097,5,18.01566472,0.064593872,0.01437648,0.008300264,57.71154737,12.78805225,6
